Device ID,Management IP,Device Name,Display Name,Device Type,Device Category,Requested Site,Interface Name,Interface Category,Interface Type,Interface IP,Interface IPs,Interface Status,VRF Name,Collection Status,Collection Error
05a251d8-39c3-4a69-8304-14c46da67614,10.35.183.131,ASB2-SCRI-MRT2,ASB2-SCRI-MRT2,Cisco Meraki vMX Firewall,Firewall,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/05a251d8-39c3-4a69-8304-14c46da67614/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
05a3b589-ba89-40b7-9c85-d57d46e8980f,10.184.2.114,AUS7-RCK3-ART1,AUS7-RCK3-ART1,Cisco Router,Router,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/05a3b589-ba89-40b7-9c85-d57d46e8980f/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
066e7d1c-e28f-05d8-998d-4d04839e2d4e,10.184.240.114,AUS7-RCK1-AFW1,AUS7-RCK1-AFW1,Palo Alto Firewall,Firewall,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/066e7d1c-e28f-05d8-998d-4d04839e2d4e/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
06a694bc-0d61-44d1-8e80-c7f9c0296edc,10.12.1.237,ADC21-R209-RBK-LSW3,ADC21-R209-RBK-LSW3,Cisco Nexus Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/06a694bc-0d61-44d1-8e80-c7f9c0296edc/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
075d3320-dc21-553e-db32-47ae3cb3eb28,10.15.0.8,AZW1-PAN-FW3,AZW1-PAN-FW3,Palo Alto Firewall,Firewall,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/075d3320-dc21-553e-db32-47ae3cb3eb28/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
079dd77d-ba73-4e01-ad47-9979e44b6db2,10.254.161.237,APH5-MDFA1-AVG1,APH5-MDFA1-AVG1,Cisco Voice Gateway,Other,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/079dd77d-ba73-4e01-ad47-9979e44b6db2/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
07fe9e5d-0aea-4da4-befa-2b85994cdb89,10.92.9.181,10.92.9.181,10.92.9.181,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/07fe9e5d-0aea-4da4-befa-2b85994cdb89/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
08fe3f1f-165e-474d-9336-95b19c7e7cef,10.184.2.137,ARL1-MDFA1-ART1,ARL1-MDFA1-ART1,Cisco Router,Router,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/08fe3f1f-165e-474d-9336-95b19c7e7cef/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
091d6bf2-c8d4-4916-cc57-d1a26d29bee8,10.15.0.9,AZW1-PAN-FW4,AZW1-PAN-FW4,Palo Alto Firewall,Firewall,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/091d6bf2-c8d4-4916-cc57-d1a26d29bee8/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
092f983f-5e14-4eb7-a271-f26fd5701f87,10.128.81.29,10.128.81.29,10.128.81.29,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/092f983f-5e14-4eb7-a271-f26fd5701f87/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
095a3952-3f2b-468c-bd7e-365c144f4eb5,10.92.1.17,10.92.1.17,10.92.1.17,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/095a3952-3f2b-468c-bd7e-365c144f4eb5/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
096c8c0b-b172-4bb7-9b9b-330bb6ec82ec,10.12.162.226,10.12.162.226,10.12.162.226,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/096c8c0b-b172-4bb7-9b9b-330bb6ec82ec/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
09aad21c-3863-4f09-bac1-72461fa3220b,10.255.20.29,ATL1-MDFA1-RC1,ATL1-MDFA1-RC1,Opengear Infrastructure Manager,Other,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/09aad21c-3863-4f09-bac1-72461fa3220b/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
0a2e15f3-941f-473d-a50d-b40f3226f8e2,10.86.34.5,ARL4-MDFB1-ASW1,ARL4-MDFB1-ASW1,Cisco IOS Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/0a2e15f3-941f-473d-a50d-b40f3226f8e2/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
0a784884-3680-4d6f-8cd0-d183ce4fae5f,10.87.21.9,AUS4-IDFA1-ASW2,AUS4-IDFA1-ASW2,Cisco IOS Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/0a784884-3680-4d6f-8cd0-d183ce4fae5f/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
0adc04b2-2443-4181-8359-e2679eba8a6a,10.160.10.34,10.160.10.34,10.160.10.34,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/0adc04b2-2443-4181-8359-e2679eba8a6a/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
0b61f777-b3cd-4b62-aff4-a3bf5958c4b8,10.87.1.248,AUS3-IDFA1-ASW5,AUS3-IDFA1-ASW5,Cisco IOS Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/0b61f777-b3cd-4b62-aff4-a3bf5958c4b8/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
0cbca48c-9aab-4696-9d6e-d015c54808a0,10.12.1.230,ADC21-FW-EDG01,ADC21-FW-EDG01,Palo Alto Firewall,Firewall,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/0cbca48c-9aab-4696-9d6e-d015c54808a0/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
0d8e7b60-538a-4761-a119-ef868a70c40b,10.254.157.30,ALB6-MDFA1-DSW1,ALB6-MDFA1-DSW1,Aruba Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/0d8e7b60-538a-4761-a119-ef868a70c40b/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
0ee562ab-7ecc-51a9-26a7-d45629481a84,10.202.0.7,AZCAC1-PAN-FW4(rg-canadacentral-ETS_NETSEC)(0434640a)(VirtualMachine),AZCAC1-PAN-FW4(rg-canadacentral-ETS_NETSEC)(0434640a)(VirtualMachine),Azure Virtual Machine,Virtual Machine,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/0ee562ab-7ecc-51a9-26a7-d45629481a84/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
0f1bb7dc-5a69-06e9-1753-627f404bd3ec,10.141.5.150,818-DC-A,818-DC-A,Cisco Meraki Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/0f1bb7dc-5a69-06e9-1753-627f404bd3ec/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
0f472b36-9034-280f-a139-2b89dc342ade,10.1.10.31,ACS,ACS,Cisco Meraki Firewall,Firewall,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/0f472b36-9034-280f-a139-2b89dc342ade/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
0f99b3e1-46d1-46e6-bbfc-434820dc91c4,10.87.12.252,AUS2-IDFA1-ASW2,AUS2-IDFA1-ASW2,Cisco IOS Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/0f99b3e1-46d1-46e6-bbfc-434820dc91c4/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
0fa6d5fa-84ba-4001-8fd2-c586c06b19d8,10.46.5.22,10.46.5.22,10.46.5.22,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/0fa6d5fa-84ba-4001-8fd2-c586c06b19d8/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
0fead353-915a-4d3e-81ac-6038fb72aa68,10.128.60.26,10.128.60.26,10.128.60.26,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/0fead353-915a-4d3e-81ac-6038fb72aa68/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
0fee5268-419f-9bc6-d21b-d70e79bedd80,10.168.0.5,AZE1-PAN-FW2,AZE1-PAN-FW2,Palo Alto Firewall,Firewall,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/0fee5268-419f-9bc6-d21b-d70e79bedd80/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
107cf67b-720b-c2e6-d292-d4bce6149479,10.168.88.72,AZEMH1-PAN-PRDFW1,AZEMH1-PAN-PRDFW1,Palo Alto Firewall,Firewall,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/107cf67b-720b-c2e6-d292-d4bce6149479/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
10d7d0c7-362c-4799-beb7-85edcea1ba3c,10.50.226.112,ALB5-MDFA1-VRT2,ALB5-MDFA1-VRT2,Viptela vEdge,Other,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/10d7d0c7-362c-4799-beb7-85edcea1ba3c/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
122d062d-5663-4357-b57a-edee05f4733b,10.227.0.132,ASB2-IDFA1-RC1,ASB2-IDFA1-RC1,Opengear Infrastructure Manager,Other,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/122d062d-5663-4357-b57a-edee05f4733b/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
12454814-a7ff-44fa-82c0-5a90db3c32fd,10.128.87.40,10.128.87.40,10.128.87.40,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/12454814-a7ff-44fa-82c0-5a90db3c32fd/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
132125f7-6e82-4f0f-8cce-b58988b4650d,10.46.5.10,10.46.5.10,10.46.5.10,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/132125f7-6e82-4f0f-8cce-b58988b4650d/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
146f6939-74ea-4cd4-9533-3c7baec6df84,10.92.1.201,10.92.1.201,10.92.1.201,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/146f6939-74ea-4cd4-9533-3c7baec6df84/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
14db8908-e92d-dce2-3393-c113bce3786f,10.168.0.4,AZE1-PAN-FW1,AZE1-PAN-FW1,Palo Alto Firewall,Firewall,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/14db8908-e92d-dce2-3393-c113bce3786f/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
15b23bf0-09aa-46d3-89eb-a1dae33b93a7,10.136.52.43,10.136.52.43,10.136.52.43,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/15b23bf0-09aa-46d3-89eb-a1dae33b93a7/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
15b77710-0609-4fd5-ade4-96ec7bec78da,10.46.2.7,10.46.2.7,10.46.2.7,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/15b77710-0609-4fd5-ade4-96ec7bec78da/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
15d861a9-e1ca-46c8-a6cb-d55347e84be4,10.35.190.60,ASB2-IDFA1-MSW1,ASB2-IDFA1-MSW1,Cisco IOS Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/15d861a9-e1ca-46c8-a6cb-d55347e84be4/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
167bcd19-0fbb-4500-beaa-efc429ce8995,10.92.6.30,10.92.6.30,10.92.6.30,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/167bcd19-0fbb-4500-beaa-efc429ce8995/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
174c0203-c4f8-49a5-9a36-4e0cc104ed07,10.128.121.23,10.128.121.23,10.128.121.23,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/174c0203-c4f8-49a5-9a36-4e0cc104ed07/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
17564558-fed5-44c7-b34d-6954678c76d0,10.254.161.22,APH5-MDFA1-VGW1,APH5-MDFA1-VGW1,Cisco Router,Router,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/17564558-fed5-44c7-b34d-6954678c76d0/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
17897504-b371-4ab7-bb32-06106d914ab4,10.254.137.221,10.254.137.221,10.254.137.221,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/17897504-b371-4ab7-bb32-06106d914ab4/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
17d5afec-9df5-4e85-bcbd-dab867c5da7c,10.254.59.244,ATL3-IDFF1-ASW1,ATL3-IDFF1-ASW1,Aruba Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/17d5afec-9df5-4e85-bcbd-dab867c5da7c/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
184adeda-01f7-4eaf-a97c-38e756eccc05,10.188.173.1,BDA1-MDFA1-ASW1,BDA1-MDFA1-ASW1,Cisco IOS Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/184adeda-01f7-4eaf-a97c-38e756eccc05/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
18a806ca-00d5-4dfd-8591-0c9a00d994f9,10.26.4.253,ALH1-MDFA1-ASW1,ALH1-MDFA1-ASW1,Cisco IOS Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/18a806ca-00d5-4dfd-8591-0c9a00d994f9/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
18ecf525-1dd7-45be-bf5e-aaecc01be083,10.87.14.250,AUS5-MDFA1-ASW2,AUS5-MDFA1-ASW2,Cisco IOS Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/18ecf525-1dd7-45be-bf5e-aaecc01be083/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
1aaf174a-1bdf-4538-8ac0-89ed1d25387b,10.254.59.248,ATL3-IDFB1-ASW1,ATL3-IDFB1-ASW1,Aruba Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/1aaf174a-1bdf-4538-8ac0-89ed1d25387b/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
1ab5b8f6-0ae0-4ae4-b56d-805bd87b7b2b,10.254.20.235,ATL1-MDFA1-ASW1,ATL1-MDFA1-ASW1,Aruba Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/1ab5b8f6-0ae0-4ae4-b56d-805bd87b7b2b/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
1b0175bf-67eb-404c-80f4-b5005163446f,10.50.224.16,ASB2-USON-VRT1,ASB2-USON-VRT1,Viptela vEdge,Other,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/1b0175bf-67eb-404c-80f4-b5005163446f/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
1b617658-14e4-41d3-a395-f34bfe58675d,10.186.132.1,AUS9-MDFA1-DSW1,AUS9-MDFA1-DSW1,Cisco IOS Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/1b617658-14e4-41d3-a395-f34bfe58675d/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
1c165bb7-1f1a-43ac-a758-c9823cdc72c4,10.92.9.13,10.92.9.13,10.92.9.13,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/1c165bb7-1f1a-43ac-a758-c9823cdc72c4/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
1c26714c-8d2d-452f-9879-3b54e64cd64a,10.184.246.11,AUS7-MDFA1-LTM1,AUS7-MDFA1-LTM1,F5 Load Balancer,Other,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/1c26714c-8d2d-452f-9879-3b54e64cd64a/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
1d572dce-77e7-4bfb-bd34-9771f808e1b6,10.46.5.14,10.46.5.14,10.46.5.14,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/1d572dce-77e7-4bfb-bd34-9771f808e1b6/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
1de15a0a-a37c-4f70-a3df-f9041356a79b,10.254.20.236,ATL1-MDFA1-ASW2,ATL1-MDFA1-ASW2,Aruba Switch,Switch,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/1de15a0a-a37c-4f70-a3df-f9041356a79b/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
1def66dd-654d-4e62-84ca-ed7c80647317,10.160.46.22,APC-_Dotson_#170,APC-_Dotson_#170,APC,Other,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/1def66dd-654d-4e62-84ca-ed7c80647317/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
1e5863cd-52ec-44ce-b54a-11f2b0f35a8d,10.46.15.27,10.46.15.27,10.46.15.27,Unclassified Device,Unclassified,DDC,,Unknown,,,,,,LOOKUP_FAILED,"HTTP 404 from https://netbrain.mckesson.com/ServicesAPI/API/V1/CMDB/Devices/1e5863cd-52ec-44ce-b54a-11f2b0f35a8d/Interfaces: {""statusCode"":793404,""statusDescription"":""No resource""}"
