Subnet,Network View,Comment
10.99.87.0/24,default,CHL1 - Unassigned - Reserved for future
10.99.88.0/24,default,CHL1 - 4th Floor West Users
10.99.89.0/24,default,CHL1 - 4th Floor West VoIP
10.99.90.0/24,default,CHL1 - 4th_East_Users
10.99.91.0/24,default,CHL1 - 4th_East_VoIP
10.99.92.0/24,default,CHL1 - MPT Development Server Segment
10.99.93.0/24,default,CHL1 - 1st_VOIP
10.99.94.0/24,default,CHL1 - MPT Development Server Segment
10.1.104.0/24,default,Firewall Management Security net
10.99.95.0/24,default,CHL1 - Server_VLAN
10.14.39.0/24,default,COL2 - Secure Guest Access
10.1.115.0/24,default,SN_10.1.115.0
10.1.130.224/27,default,DDC1_SAP_HANA_SW_MGMT
10.1.149.0/27,default,esupply dmz
10.1.233.0/24,default,SN_10.1.233.0
10.1.234.0/24,default,SN_10.1.234.0
10.14.50.0/24,default,ORL1 - Secure Guest Access VLAN
10.1.241.0/24,default,SN_10.1.241.0
10.1.242.0/24,default,SN_10.1.242.0
10.14.52.0/24,default,ONT1 Guest-Network
10.1.243.0/24,default,SN_10.1.243.0
10.1.244.0/24,default,SN_10.1.244.0
10.2.2.0/24,default,ATL1 LAN NMGT VLAN1
10.2.3.0/24,default,ATL1 - AS400/WCS network
10.2.7.0/24,default,TAM3 -
10.2.8.0/24,default,TAM3 - IGEHR Production
10.2.10.0/24,default,ATL1 - User/Office network
10.14.60.0/24,default,NAL1 - Secure_Guest_Access
10.2.13.0/24,default,LND1 Landover VLAN2
10.2.16.0/24,default,Richmond Vlan 1
10.2.17.0/24,default,SAC1 - AS400/WCS network
10.2.18.0/24,default,Portico - BLU1 Servers
10.2.20.0/24,default,Kansas City VLAN2
10.2.21.0/24,default,POR1 - AS400/WCS vlan
10.177.11.0/24,default,Bio Services
10.2.22.0/24,default,OKL1 - User/Office network
10.179.1.0/24,default,Redline
10.2.23.0/24,default,MEM1 Memphis VLAN3
10.2.25.0/24,default,Arlington DC VLAN2
10.2.27.0/24,default,DEN1 - WCS/AS400
10.2.28.0/24,default,MEM1 CARMA Project
10.2.29.0/24,default,Slidell VLAN2
10.2.30.0/24,default,Misc DC WAN Links
10.2.31.0/24,default,BOS1 - AS400/WCS network
10.2.32.0/24,default,WCH1 - User/Office network
10.192.0.0/24,default,"MHS Broomfield, CO"
10.192.4.0/24,default,"MHS Broomfield, CO"
10.192.28.0/23,default,
10.192.96.0/24,default,"MHS Broomfield, CO"
10.2.36.0/24,default,Memphis RxPak VLAN1
10.2.39.0/24,default,WCH1 - AS400/WCS network
10.2.41.0/24,default,reserved for DC wireless
10.254.0.0/27,default,AS 64716 Loopbacks
10.254.0.64/27,default,AS 64710 MTS Mgmt
10.254.0.96/27,default,AS 64708 FEP Mgmt
10.254.0.128/27,default,DDC AS 64702 Mgmt
10.254.0.160/27,default,AS 64607 PHR Mgmt
10.2.42.0/24,default,reserved for DC wireless
10.254.0.192/27,default,DDC USON ASP
10.254.2.0/24,default,AS 64702 Loopbacks
10.254.3.0/26,default,"MMG - Jackson,MS - Loopbacks"
10.254.3.64/26,default,"MHS Wheeling, IL"
10.254.3.128/26,default,"MPT Montgomery, AL"
10.254.3.192/26,default,"MPT Louisville, CO"
10.254.4.0/26,default,Eugene OR MPT Rtr/Sw Loopbacks
10.254.4.64/26,default,"MPT Hadley, MA Mgmt/Loopback"
10.2.43.0/24,default,MEM1 Memphis RFID
10.254.4.192/26,default,"MPT Charlotte, NC Mgmt/Loopback"
10.254.5.192/26,default,PHS-Kansas City
10.254.6.0/26,default,AS64715 LOOPBACKS
10.254.6.64/27,default,HAR1 LoopBack
10.254.6.96/27,default,HAR1 mngt
10.254.6.128/26,default,"Harahan, LA Loopbacks"
10.254.6.192/26,default,"Harahan, LA MGMT"
10.2.45.0/24,default,reserved for DC wireless
10.254.7.64/26,default,"MPT Malvern, PA Loopbacks"
10.254.7.128/26,default,"MPT Somerset, NJ Loopbacks"
10.254.8.0/26,default,SJO1 - Equinix Cloud Exchange Loopbacks
10.254.9.0/26,default,CHL1 - 2nd MGMT VLAN101
10.254.9.64/26,default,Intelliclaim Loopbacks
10.2.46.0/24,default,CAO1 CAO VLAN1
10.254.9.128/26,default,DDCXBC04
10.254.9.192/26,default,EXT Loopbacks
10.254.10.0/26,default,APS - Waterfront loopback
10.254.10.64/26,default,Brooklyn Park Loopbacks
10.254.10.128/26,default,Brooklyn Park MGMT
10.254.10.192/26,default,APS - Waterfront
10.254.11.0/26,default,"Wildamar, CA Loopbacks"
10.254.11.64/26,default,"MPT - Whippany, NJ  loopbacks - Site closed - CRQ000000439119"
10.254.11.128/26,default,"MPT - Whippany, NJ  MGMT"
10.254.11.192/26,default,"MPT Louisville 2, CO"
10.2.47.0/24,default,HON1 - WCS/AS400
10.254.12.0/26,default,"Newton, MA Loopbacks"
10.254.12.64/26,default,"Newton, MA MGMT"
10.254.12.128/26,default,"MAH Cranberry woods, PA"
10.254.12.192/26,default,"MAH Thornhill, PA loopback"
10.254.13.0/26,default,"Tulsa, OK Loopbacks"
10.254.13.64/26,default,"Tulsa, OK MGMT"
10.254.13.192/26,default,STL mgmt
10.254.14.0/26,default,WCH mgmt
10.254.14.64/26,default,MIG Medcon Israel MPLS
10.2.48.0/24,default,CAO1 CAO VLAN3
10.254.14.128/26,default,"MCN2 - Medcon, Israel  DR Site"
10.254.14.192/26,default,DDC-ITE
10.254.15.64/26,default,Livonia MPS
10.2.49.0/24,default,SLC1 - legacy WCS/AS400
10.254.32.0/27,default,AS 64800 Loopbacks
10.254.32.32/27,default,AS 64816 Loopbacks
10.254.33.0/24,default,AS 64801 Loopbacks
10.254.34.0/24,default,Maple Grove Management VLAN
10.254.64.32/27,default,AS 64903 Mgmt
10.254.66.0/24,default,Broomfield
10.254.67.0/25,default,PhoenixDC_Loopback_Segment
10.254.67.128/25,default,PHX1 - Phoenix DC MGMT
10.2.54.0/24,default,SAC1 - VLAN 20 / RFID Pilot / SAC1
10.254.68.0/25,default,Conroe DC_Loopback_Segment
10.254.68.128/25,default,CNR1 - Conroe DC MGMT
10.254.69.0/25,default,Aberdeen_DC_Loopback_Segment
10.254.69.128/25,default,Aberdeen_DC_MGMT_Segment
10.254.70.0/25,default,BIR1 Birmingham_DC_Loopback_Segment
10.254.70.128/25,default,BIR1 - Birmingham DC MGMT
10.254.71.0/25,default,CAP1 Cape Girardeau
10.254.71.128/25,default,CAP1 Cape Girardeau
10.254.72.0/25,default,ORL1 Loopback MMS Orlando DC
10.254.73.0/25,default,OntarioDC_Loopback_Segment
10.254.73.128/25,default,OntarioDC_MGMT_Segment
10.254.74.0/25,default,Golden_Valley_DC_Loopback_Segmen
10.254.74.128/25,default,Golden_Valley_DC_MGMT_Segment
10.254.75.0/25,default,St_Paul_DC_Loopback_Segment
10.254.75.128/25,default,St_Paul_DC_MGMT_Segment
10.254.97.0/24,default,DFW1 MGMT Network
10.254.98.0/24,default,GLD6 McKesson Europe NETNCC management & GRE loopbacks
10.254.99.0/24,default,FRA1 McKesson Europe NCC management
10.254.100.0/24,default,McKesson Europe NOC loopbacks
10.254.101.0/24,default,McKeson Europe NOC loopbacks
10.254.130.0/27,default,CBN CISCO MGMT
10.254.130.32/27,default,HADR LOOPBACKS
10.254.130.128/26,default,RCM1 Management
10.254.130.192/27,default,LIV1 TEST SUBNET VLAN 101
10.254.130.224/28,default,HADR Cisco MGMT
10.254.130.248/29,default,HADR MGMT FW
10.254.132.0/24,default,Drohan Mgmt
10.2.59.0/24,default,LAK1 - OLD USER VLAN Addresses
10.254.135.0/24,default,Post St
10.254.136.0/25,default,"Louisville, CO Loopbacks"
10.254.138.0/24,default,McKesson Europe NOC loopbacks
10.254.150.0/25,default,LAK1 - Lakeland DC - Loopbacks
10.254.150.128/25,default,LAK1 - Lakeland DC MGMT - Vlan101
10.2.60.0/24,default,Arlington VLAN1
10.254.160.0/25,default,CAR Loopback
10.254.160.128/25,default,CAR Mgmt IPs
10.255.0.0/24,default,DDC IPSEC VPN Tunnels
10.255.2.0/24,default,DDC Guest GRE Tunnels Expansion
10.255.3.0/26,default,MMG - Jackson Router Links
10.255.3.64/26,default,"MHS Wheeling, IL"
10.255.3.128/26,default,"MPT Montgomery, AL"
10.2.62.0/24,default,SCA1 - User/Office network
10.255.4.0/26,default,Eugene Oregon MPT WAN Uplinks/Sw
10.255.4.128/26,default,"MPT Wheeling, IL Rtr/Sw Uplink"
10.255.4.192/26,default,"MPT Charlotte, NC Router Uplinks"
10.255.5.128/26,default,"MooreMedical New Britain, CT"
10.255.5.192/26,default,PHS-Kansas City
10.255.6.0/26,default,MMS DDC - NDH Call Center Private
10.255.6.64/26,default,Harrisburg
10.2.63.0/24,default,decommissioned 8/22/12 MEM2 Memphis2 RFID
10.255.7.0/26,default,MPT Roseville MN Uplinks
10.255.7.64/26,default,"MPT Malvern, PA Rtr/Sw Uplinks"
10.255.7.128/26,default,"MPT Somerset, NJ Rtr/Sw Uplinks"
10.2.64.0/24,default,STL1 - USER VLAN Addresses
10.255.9.0/26,default,MMS Redline Maple Grove DC
10.255.9.64/26,default,Post St Uplinks
10.255.10.0/29,default,RLH VSYS in DDC DDC-INT-RLH
10.255.10.64/26,default,Brooklyn Park Uplinks
10.255.10.128/26,default,Waterfront Router Uplinks
10.255.11.64/26,default,"MPT - Whippany, NJ  uplinks"
10.2.65.0/24,default,
10.255.12.0/26,default,"Newton, MA uplinks"
10.255.13.0/26,default,MPT - Horizon Birmingham AL
10.255.13.64/26,default,HLT1 Uplinks
10.255.14.64/26,default,MIG Medcon Israel MPLS
10.255.14.128/26,default,"MCN2 - Medcon, Israel  DR Site - Uplinks"
10.255.16.0/26,default,Concord Sky Pharma uplinks
10.255.16.64/26,default,MMS Sungard DR
10.2.67.0/24,default,CarolStream VLAN1
10.255.16.128/26,default,"Springfield, MO RTR Uplink"
10.255.34.0/24,default,Maple Grove WAN
10.255.66.0/24,default,Broomfield
10.2.70.0/24,default,ANC1 - WCS/AS400
10.255.73.0/24,default,OntarioDC_Router_Segment
10.255.74.0/24,default,Golden_Valley_DC_Router_Segment
10.255.75.0/24,default,St_Paul_DC_Router_Segment
10.255.129.0/24,default,DDC - HA/DR Router Links
10.255.131.0/24,default,Windward- Router Links
10.2.71.0/24,default,
10.255.136.0/24,default,MMG Broomfield Uplinks
10.255.138.0/24,default,Celesio interconnect through Cork uplinks
10.2.72.0/24,default,BUF1 - AS400/WCS vlan
10.2.73.0/24,default,Spokane DC VLAN2
10.2.76.0/24,default,ADC21- CMM -- CTASK0110705
10.2.80.0/24,default,DQW1 - USER VLAN Addresses
10.2.81.0/24,default,OKL1 - AS400/WCS network
10.2.82.0/24,default,CST1 CarolStream VLAN3
10.2.83.0/24,default,MEM1 Memphis RDC VLAN2
10.2.88.0/24,default,CST1 CarolStream VLAN2
10.2.91.0/24,default,SCA1 - AS400/WCS network
10.2.92.0/24,default,SLC1 - legacy USER VLAN Addresses
10.2.102.0/24,default,DDCROUT2 ATM PVCs
10.2.109.152/30,default,westlake wan
10.2.109.216/30,default,Cust Care 1
10.2.109.232/30,default,T-1 Custcare
10.2.110.152/30,default,westlake
10.2.110.216/30,default,T-1 Customer Care
10.2.110.232/30,default,T-1 Custcare
10.2.111.0/24,default,LND1 Landover VLAN3
12.44.20.0/24,default,
10.2.112.0/24,default,BOS1 - User/Office network
128.1.25.0/24,default,
128.1.133.0/24,default,SN_128.1.133.0
128.1.201.0/24,default,
128.1.202.0/24,default,
128.1.238.0/24,default,SN_128.1.238.0
128.1.241.0/24,default,SN_128.1.241.0
128.1.242.0/24,default,SN_128.1.242.0
128.1.243.0/24,default,SN_128.1.243.0
128.1.244.0/24,default,SN_128.1.244.0
128.1.246.0/24,default,SN_128.1.246.0
10.2.117.0/24,default,
128.1.247.0/24,default,SN_128.1.247.0
128.1.248.0/24,default,SN_128.1.248.0
128.1.249.0/24,default,SN_128.1.249.0
128.1.250.0/24,default,SN_128.1.250.0
128.1.251.0/24,default,SN_128.1.251.0
128.1.253.0/24,default,SN_128.1.253.0
128.1.254.0/24,default,SN_128.1.254.0
128.2.3.0/24,default,Atlanta
128.2.4.0/24,default,Atlanta SAP Printers
10.2.119.0/24,default,
128.2.57.0/24,default,Livonia Loopback0
128.2.59.0/24,default,Billing / No pings
128.2.74.0/24,default,SN_128.2.74.0
128.2.78.0/24,default,W. Seneca ???
128.2.80.0/24,default,DQW_CLD
128.2.96.0/24,default,SFS ???
128.2.98.0/24,default,???
128.2.100.0/24,default,Ft. Worth ???
128.2.108.0/24,default,
128.2.142.0/24,default,
10.2.120.0/24,default,DEN1 - OLD USER VLAN Addresses
128.2.143.0/24,default,ISDN_Subnet
128.2.190.0/24,default,HACMP ???
128.2.191.0/24,default,HACMP ???
128.2.192.0/24,default,???
128.2.214.0/24,default,BRI NetEngDC
128.208.67.0/24,default,
128.6.1.0/24,default,
128.6.2.0/24,default,
10.2.121.0/24,default,Lynwood VLAN1
128.6.3.0/24,default,SN_128.6.3.0
128.6.4.0/24,default,
128.6.5.0/24,default,
128.6.7.0/24,default,
128.6.8.0/24,default,
128.6.9.0/24,default,
128.6.111.0/24,default,SN_128.6.111.0
128.6.220.0/24,default,SN_128.6.220.0
128.6.251.0/24,default,
10.2.122.0/24,default,lakeland(vlan1)
135.82.114.0/24,default,
10.2.129.0/24,default,
10.2.135.0/24,default,
10.2.141.0/24,default,Sac DC CLD
10.2.142.0/24,default,POR1 - User/Office vlan
10.2.143.0/24,default,DCC DC ISDN DBU
10.2.150.0/24,default,reserved for DC wireless
10.2.151.0/24,default,Denver DC VLAN1
10.2.152.0/24,default,DEN1 - AS400 Development
139.177.72.0/24,default,E2K Segment
139.177.73.0/24,default,Wireless Network
10.2.153.0/24,default,Slidell VLAN3
10.2.154.0/24,default,Richmond DC VLAN3
139.177.216.0/25,default,VAN - Dubuque Hosting Range
139.177.218.96/28,default,osgselfservice
139.177.218.112/28,default,NDH-ASP-Southwest General DR DMZ01
139.177.218.128/28,default,NDH-ASP-Southwest General DR DMZ02
139.177.218.144/28,default,
139.177.218.192/28,default,YMH ASP Server NAT
139.177.218.208/28,default,NDH-ASP_St Josephs DMZ
139.177.218.224/28,default,St Josephs Outside 2
139.177.218.240/28,default,NDH-ASP PMG-DMZ02
10.2.158.0/24,default,NCS1 New Castle ARC VLAN4
10.2.163.0/24,default,
10.2.167.0/24,default,SAC1 Sac DC VLAN1
139.177.230.0/24,default,Windward Van Group
139.177.231.0/24,default,WDC_sn_139.177.231.0
139.177.232.0/24,default,
10.2.168.0/24,default,SAC1 - User/Office network
140.0.0.0/24,default,UNKNOWN Usage
143.112.10.0/24,default,NETID_143.112.0.0
143.112.11.0/24,default,DBQ_143.112.11.0
143.112.12.0/24,default,DBQ_143.112.12.0
143.112.14.0/24,default,DBQ_143.112.14.0
143.112.15.0/24,default,DBQ_143.112.15.0
143.112.16.0/24,default,DBQ_143.112.16.0
143.112.25.16/28,default,DBQ_Precision Network
143.112.25.32/28,default,DBQ_QUORUM NETWORK
10.2.171.0/24,default,
143.112.25.64/28,default,DBQ_QUORUM NETWORK
143.112.25.96/28,default,DBQ_143.112.25.96/28 NETWORK
143.112.25.128/28,default,DBQ_QUORUM NETWORK
143.112.25.160/28,default,DBQ_LONGWOOD NETWORK
143.112.25.192/28,default,DBQ_143.112.25.192/28 NETWORK
143.112.25.224/28,default,DBQ_MVS TEST NETWORK
143.112.26.0/24,default,DBQ_143.112.26.0
143.112.32.0/24,default,DBQ ISP VPN-B2B
143.112.36.0/24,default,DBQ ISP DMZ
143.112.40.0/24,default,DBQ TSH PROD DMZ
143.112.41.0/24,default,DBQ TSH DEV DMZ
143.112.42.0/24,default,DBQ TSH DMZ
143.112.43.0/24,default,DBQ TSH DMZ
143.112.44.0/24,default,DBQ TSH DMZ
143.112.45.0/24,default,DBQ TSH DMZ
143.112.46.0/24,default,DBQ TSH DMZ
143.112.47.0/24,default,DBQ TSH DMZ
143.112.128.0/24,default,SMO F5 DMZ Public Pool
143.112.129.0/24,default,ISP/DMZ Public Pool
143.112.130.0/24,default,ISP/DMZ Public Pool
10.2.189.0/24,default,DQW1 - WCS/AS400
143.112.131.0/24,default,ISP/DMZ Public Pool
143.112.132.0/27,default,Utility ISP/DMZ Public Pool
143.112.133.0/24,default,Utility ISP/DMZ Public Pool
143.112.134.0/24,default,Utility ISP/DMZ Public Pool
143.112.135.0/24,default,Utility ISP/DMZ Public Pool
143.112.136.0/24,default,PPG ISP/DMZ Public Pool - Legacy and Needs Cleanup
143.112.137.0/24,default,PPG ISP/DMZ Public Pool
143.112.138.0/24,default,MSCS ISP/DMZ Public Pool
143.112.139.0/24,default,USON ISP/DMZ Public Pool
10.2.192.0/24,default,MMS San Ramon
143.112.141.0/24,default,Open
143.112.142.0/24,default,Open
143.112.143.0/24,default,Open
143.112.148.0/24,default,ITE DMZ
143.112.156.0/24,default,DDC-VDMZ-Richmond/Lewisville/Newton
10.31.0.0/24,default,Eugene OR User1
10.2.193.0/24,default,MMS Dst 122 (Reserved)
10.31.1.0/24,default,Eugene OR VOIP1
10.2.194.0/24,default,MMS Dst 122 (Reserved)
10.31.2.0/24,default,Eugene OR User2
10.2.195.0/24,default,MMS Dst 122 (Reserved)
10.31.3.0/24,default,Eugene OR VOIP2
10.2.196.1/32,default,OTN Loopback
10.31.4.0/24,default,Eugene OR future
10.2.198.0/24,default,
10.31.5.0/24,default,Eugene OR future
10.2.199.0/24,default,Everett-Lynnwood T1
10.31.6.0/24,default,Eugene OR future
10.2.200.0/24,default,DCs Loopback0
10.31.7.0/24,default,Eugene OR future
10.2.201.0/24,default,Kansas City VLAN1
10.31.8.0/24,default,Eugene OR Wireless
10.2.205.0/24,default,Slidell VLAN1
10.31.9.0/24,default,Eugene OR future
10.31.10.0/24,default,Eugene OR future
10.2.209.0/24,default,
10.31.11.0/24,default,Eugene OR future
10.2.211.0/24,default,ANC1 - USER VLAN Addresses
10.31.12.0/24,default,Eugene OR future
10.2.212.0/24,default,HON1 - USER VLAN Addresses
10.31.13.0/24,default,Eugene OR future
10.2.213.0/24,default,Kansas City VLAN3
10.31.14.0/24,default,Eugene OR Server2
10.2.214.0/24,default,HON1 FastEth AS5300
10.31.15.0/24,default,Eugene OR Server1
10.2.223.0/24,default,MEM1 Memphis RDC1 VLAN1
10.2.224.0/24,default,MEM1 Memphis RDC1 VLAN2
172.16.4.0/24,default,PharmaClik - AdminZone
172.16.6.0/24,default,MMS-District 6
172.16.9.0/24,default,MMS-District 9
10.2.225.0/24,default,MEM1 Memphis RDC1 VLAN3
172.16.11.0/24,default,PharmaClik - ProxyZone
172.16.14.0/24,default,PharmaClik - ConsoleZone
172.16.18.0/24,default,MMS-District 18
172.16.19.0/24,default,MMS-District 19
172.16.20.0/24,default,MMS-District 20
172.16.26.0/24,default,MMS-District 26
172.16.27.0/24,default,MMS-District 27
172.16.33.0/24,default,MMS-District 33
172.16.41.0/24,default,MMS-District 41
172.16.46.0/24,default,MMS-District 46
10.2.228.0/24,default,decommissioned - 8/22/12 MEM2  Memphis RDC2 VLAN1
172.16.47.0/24,default,MMS-District 47
172.16.60.0/24,default,MMS-District 60
172.16.61.0/24,default,MMS-District 61
172.16.64.0/24,default,MMS-District 64
172.16.65.0/24,default,MMS-District 65
172.16.72.0/24,default,MMS-District 72
172.16.76.0/24,default,MMS-District 76
172.16.77.0/24,default,MMS-District 77
172.16.78.0/24,default,MMS-District 78
172.16.80.0/24,default,MMS-District 80
10.2.229.0/24,default,decommissioned 8/22/12 MEM2 Memphis RDC2 VLAN2
172.16.82.0/24,default,MMS-District 82
172.16.83.0/24,default,MMS-District 83
172.16.84.0/24,default,MMS-District 84
172.16.85.0/24,default,MMS-District 85
172.16.87.0/24,default,MMS-District 87
172.16.90.0/24,default,MMS-District 90
172.16.100.0/24,default,PharmaClik - ISZone
172.16.102.0/24,default,MMS-District 102
172.16.187.0/24,default,MMS-District 187
172.16.202.0/24,default,MMS-District 202
10.2.230.0/24,default,decommissioned 8/22/12  MEM2 Memphis RDC2 VLAN3
172.16.203.0/24,default,MMS-District203
172.16.204.0/24,default,MMS-District 204
172.16.205.0/24,default,MMS-District 205
172.16.207.0/24,default,MMS-District 207
172.16.208.0/24,default,MMS-District 208
172.16.210.0/24,default,MMS
172.16.215.0/24,default,MMS-District 215
172.16.216.0/24,default,MMS-District 216
172.16.218.0/24,default,MMS-District 218
172.16.220.0/24,default,MMS-District 220
10.2.235.0/24,default,LAK1 - WCS/AS400 Addresses
172.16.221.0/24,default,
172.16.222.0/24,default,MMS-District 222
172.16.223.0/24,default,MMS-District 223
172.16.241.0/24,default,MMS-District 241
172.16.253.0/24,default,MMS
192.168.0.0/24,default,MIS - DMZ
10.2.236.0/24,default,reserved for DC wireless
192.168.1.0/24,default,DDC DMZ VIPs
192.168.3.0/24,default,DDC DMZ Server1
192.168.4.0/24,default,Broomfield Virtual DMZ
192.168.6.0/24,default,DMZ_SERVER_MGT VLAN70
192.168.7.0/24,default,available
10.2.237.0/24,default,reserved for DC wireless
192.168.8.0/24,default,
192.168.9.0/24,default,
192.168.10.0/24,default,SMO F5 VIP Network
192.168.11.0/24,default,
192.168.12.0/24,default,
192.168.13.0/24,default,SN_192.168.13.0
192.168.19.0/24,default,available
10.2.238.0/24,default,reserved for DC wireless
192.168.20.0/24,default,DDC Extranet
192.168.21.0/24,default,DDC Extranet
192.168.22.0/24,default,DDC Extranet
192.168.23.0/24,default,DDC Extranet
192.168.24.0/24,default,RLH DMZ VIP PROD
192.168.25.0/24,default,RLH DMZ VIP DEV
192.168.27.0/24,default,RLH DMZ LB DEV
192.168.32.0/24,default,SCS_WEB - DDC1
10.2.239.0/24,default,reserved for DC wireless
192.168.34.0/24,default,SCS_APP -- DDC1
192.168.35.0/24,default,
192.168.37.0/24,default,RLH-PatientCompass-PCIDMZ-BAK Network
192.168.39.0/24,default,
10.2.240.0/24,default,lakeland vlan3
192.168.44.0/24,default,SN_192.168.44.0
192.168.45.0/24,default,SN_192.168.45.0
192.168.53.0/24,default,PPG
10.2.241.0/24,default,reserved for DC wireless
192.168.57.0/24,default,Access Health
192.168.60.0/24,default,carma_as5300_pool
192.168.61.0/24,default,
192.168.63.0/24,default,PPG
192.168.72.0/24,default,
192.168.79.192/30,default,Exult WAN Link
192.168.80.192/30,default,Exult WAN Link
192.168.81.0/24,default,DDCAXEXT_5300
192.168.82.0/24,default,Extranet Router Loopback
10.2.242.0/24,default,reserved for DC wireless
192.168.83.0/28,default,Extranet Network Area VLAN3
192.168.83.16/28,default,Extranet Network Area VLAN1
192.168.83.64/28,default,
192.168.84.0/24,default,Extranet network Area NAT POOL
192.168.90.0/24,default,
192.168.110.0/24,default,SMO F5 Load Balance Network
192.168.128.0/24,default,CSS Server Real
192.168.129.0/24,default,DDC1 - SMB DMZ pod
10.2.243.0/24,default,reserved for DC wireless
192.168.130.0/24,default,SMB DMZ pod
192.168.131.0/24,default,SMB DMZ pod
192.168.132.0/24,default,VPN Destination NAT
192.168.133.0/24,default,VPN Destination NAT
192.168.134.0/24,default,VPN Destination NAT
192.168.135.0/24,default,DMZ Dev Network
192.168.136.0/24,default,Free Subnet
192.168.137.0/24,default,Free Subnet
192.168.138.0/24,default,PPG Prod DMZ pod
192.168.139.0/24,default,PPG Prod DMZ pod
10.2.244.0/24,default,reserved for DC wireless
192.168.142.0/24,default,Checkpoint VPN Client Pool
192.168.143.0/24,default,e-Supply DMZ pod
192.168.148.0/24,default,
192.168.149.0/24,default,MHS Replication
10.2.245.0/24,default,reserved for DC wireless
192.168.156.0/24,default,VPN Client Pool
192.168.157.0/24,default,Legacy ISP/DMZ
192.168.159.16/28,default,Open Subnet
192.168.159.32/29,default,PRVFW-ISPSW Vlan4
192.168.159.40/29,default,ISPRT-ISPSW Links
192.168.159.48/29,default,ISPRT-ISPSW Links
10.2.246.0/24,default,reserved for DC wireless
192.168.159.56/29,default,Free Subnet
192.168.159.64/28,default,VPN PRIVATE
192.168.159.80/28,default,VPN DMZ
192.168.159.112/28,default,DDCCB-to-DDCASP
192.168.159.128/28,default,FW-ISPSW Links
192.168.159.144/28,default,FW-ISPSW Links
192.168.159.160/28,default,FW-ISPSW Links
192.168.159.176/28,default,FW-ISPSW Links
10.2.247.0/24,default,reserved for DC wireless
192.168.159.208/28,default,FW-ISPSW Links
192.168.159.224/28,default,FW-ISPSW Links
192.168.159.240/28,default,FW-ISPSW Links
192.168.160.0/24,default,DDC Collocation Public
192.168.175.0/24,default,Caritor- Dst NAT from Caritor to MCK
192.168.176.0/24,default,Reserve for Caritor
192.168.177.0/24,default,Reserve for Caritor
192.168.178.0/24,default,Caritor
